"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2024","22.67","22.78","23.17","22.44","101.75M","-0.83%"
"12/22/2024","22.86","22.67","23.15","22.59","69.26M","0.48%"
"12/15/2024","22.75","23.71","23.81","22.41","263.90M","-3.72%"
"12/08/2024","23.63","23.90","23.99","23.11","165.46M","-1.05%"
"12/01/2024","23.88","23.15","24.03","22.64","223.20M","3.11%"
"11/24/2024","23.16","23.15","23.38","22.87","147.69M","-0.09%"
"11/17/2024","23.18","22.78","23.29","22.68","139.64M","2.20%"
"11/10/2024","22.68","22.28","22.75","21.79","153.42M","1.52%"
"11/03/2024","22.34","22.14","22.43","21.79","144.41M","0.99%"
"10/27/2024","22.12","21.92","22.73","21.82","193.64M","1.33%"
"10/20/2024","21.83","21.88","22.58","21.05","213.91M","-0.09%"
"10/13/2024","21.85","21.36","22.06","21.23","146.13M","2.25%"
"10/06/2024","21.37","21.91","22.00","21.21","125.19M","-2.46%"
"09/29/2024","21.91","22.00","22.24","21.48","142.24M","0.05%"
"09/22/2024","21.90","21.54","21.93","21.31","128.87M","1.67%"
"09/15/2024","21.54","21.84","22.34","21.18","245.96M","-0.46%"
"09/08/2024","21.64","20.96","21.86","20.92","223.25M","3.20%"
"09/01/2024","20.97","19.93","21.00","19.92","205.16M","5.38%"
"08/25/2024","19.90","19.76","19.94","19.59","113.50M","0.86%"
"08/18/2024","19.73","19.35","19.76","19.34","99.94M","2.02%"
"08/11/2024","19.34","19.54","19.66","18.97","130.98M","-0.77%"
"08/04/2024","19.49","18.80","19.59","18.64","163.12M","0.62%"
"07/28/2024","19.37","19.00","19.99","18.82","187.78M","1.89%"
"07/21/2024","19.01","18.70","19.74","18.14","263.60M","-0.58%"
"07/14/2024","19.12","18.85","19.33","18.53","163.15M","1.65%"
"07/07/2024","18.81","18.84","18.98","18.46","146.08M","0.21%"
"06/30/2024","18.77","19.24","19.32","18.65","117.89M","-1.78%"
"06/23/2024","19.11","18.42","19.13","18.40","190.02M","3.86%"
"06/16/2024","18.40","17.56","18.45","17.49","165.83M","4.31%"
"06/09/2024","17.64","18.00","18.04","17.42","151.37M","-2.54%"
"06/02/2024","18.10","18.13","18.45","17.90","155.47M","-0.66%"
"05/26/2024","18.22","17.46","18.27","17.11","149.85M","4.11%"
"05/19/2024","17.50","17.38","17.61","17.14","147.56M","0.57%"
"05/12/2024","17.40","17.18","17.44","17.15","133.02M","1.34%"
"05/05/2024","17.17","16.95","17.22","16.91","119.34M","1.90%"
"04/28/2024","16.85","16.99","17.28","16.73","171.00M","0.60%"
"04/21/2024","16.75","16.69","17.03","16.17","260.71M","1.45%"
"04/14/2024","16.51","16.46","16.54","15.94","199.18M","1.23%"
"04/07/2024","16.31","17.40","17.46","16.25","181.84M","-6.37%"
"03/31/2024","17.42","17.19","17.88","17.15","179.92M","-1.02%"
"03/24/2024","17.60","17.03","17.70","16.97","134.94M","3.65%"
"03/17/2024","16.98","17.10","17.32","16.93","150.90M","-0.41%"
"03/10/2024","17.05","17.22","17.44","16.83","230.92M","-0.87%"
"03/03/2024","17.20","16.87","17.35","16.71","169.52M","1.30%"
"02/25/2024","16.98","16.80","17.12","16.52","162.41M","1.07%"
"02/18/2024","16.80","16.88","17.13","16.42","144.00M","-1.00%"
"02/11/2024","16.97","16.84","17.22","16.75","142.13M","0.77%"
"02/04/2024","16.84","17.71","17.87","16.57","202.51M","-5.55%"
"01/28/2024","17.83","17.22","18.16","17.05","251.09M","3.12%"
"01/21/2024","17.29","16.72","17.38","16.46","276.05M","3.72%"
"01/14/2024","16.67","16.42","16.78","16.19","165.98M","1.15%"
"01/07/2024","16.48","17.45","17.49","16.15","190.24M","-5.67%"
"12/31/2023","17.47","16.84","17.51","16.83","150.25M","4.11%"
"12/24/2023","16.78","16.50","16.87","16.44","115.88M","1.39%"
