"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2024","147.85","143.79","148.50","142.35","25.32M","2.67%"
"12/22/2024","144.00","142.48","145.71","141.54","21.50M","0.81%"
"12/15/2024","142.85","153.89","153.89","140.55","82.80M","-7.16%"
"12/08/2024","153.87","157.00","160.08","153.07","45.73M","-0.88%"
"12/01/2024","155.24","162.29","163.20","155.17","36.05M","-4.13%"
"11/24/2024","161.93","162.15","164.68","159.83","30.82M","-0.26%"
"11/17/2024","162.36","160.56","162.65","158.75","32.09M","0.58%"
"11/10/2024","161.42","157.14","162.38","154.53","41.41M","2.86%"
"11/03/2024","156.93","154.42","158.61","152.55","38.41M","2.52%"
"10/27/2024","153.07","148.25","155.93","147.66","40.82M","1.50%"
"10/20/2024","150.81","152.00","152.48","149.29","27.05M","0.04%"
"10/13/2024","150.75","150.52","151.90","147.56","27.02M","-0.44%"
"10/06/2024","151.42","151.50","152.75","147.36","26.23M","0.45%"
"09/29/2024","150.74","145.37","152.50","144.28","39.54M","3.61%"
"09/22/2024","145.49","146.25","149.10","140.63","36.96M","-0.13%"
"09/15/2024","145.68","141.69","146.78","141.07","50.79M","3.61%"
"09/08/2024","140.61","138.63","142.02","135.37","40.12M","1.48%"
"09/01/2024","138.56","145.55","145.77","137.87","34.97M","-6.35%"
"08/25/2024","147.95","148.97","150.09","145.44","27.38M","0.22%"
"08/18/2024","147.62","146.01","148.09","144.55","28.30M","0.24%"
"08/11/2024","147.27","145.84","147.62","139.69","35.29M","1.57%"
"08/04/2024","144.99","145.52","146.11","142.28","46.78M","-2.40%"
"07/28/2024","148.55","158.25","161.69","147.02","46.99M","-5.89%"
"07/21/2024","157.84","158.22","159.04","153.42","28.45M","-0.82%"
"07/14/2024","159.15","156.95","164.28","156.15","32.89M","2.29%"
"07/07/2024","155.59","153.32","156.68","152.30","30.48M","0.83%"
"06/30/2024","154.31","157.16","158.70","153.68","22.25M","-1.35%"
"06/23/2024","156.42","156.27","159.54","155.63","39.52M","0.73%"
"06/16/2024","155.28","152.50","157.66","151.93","42.89M","1.78%"
"06/09/2024","152.57","156.41","158.20","151.97","34.55M","-2.25%"
"06/02/2024","156.08","161.49","161.68","153.39","33.53M","-3.83%"
"05/26/2024","162.30","158.12","162.58","156.44","29.54M","2.88%"
"05/19/2024","157.75","162.72","163.00","156.33","27.15M","-3.02%"
"05/12/2024","162.67","166.48","166.91","160.17","31.28M","-1.90%"
"05/05/2024","165.82","160.73","166.42","160.73","34.18M","3.48%"
"04/28/2024","160.25","165.91","167.11","157.04","42.80M","-3.40%"
"04/21/2024","165.89","159.95","166.98","158.44","39.43M","3.68%"
"04/14/2024","160.00","159.94","160.75","155.42","32.23M","0.65%"
"04/07/2024","158.96","161.65","163.87","158.04","40.11M","-1.63%"
"03/31/2024","161.60","158.27","162.17","156.94","39.62M","2.45%"
"03/24/2024","157.74","155.48","158.19","154.65","28.49M","1.99%"
"03/17/2024","154.66","156.03","156.84","154.16","37.30M","-0.57%"
"03/10/2024","155.55","150.50","157.04","149.59","51.51M","3.78%"
"03/03/2024","149.88","152.50","152.59","147.67","50.45M","-1.92%"
"02/25/2024","152.81","154.54","155.55","149.90","45.50M","-1.20%"
"02/18/2024","154.66","155.47","156.63","153.25","29.04M","0.02%"
"02/11/2024","154.63","151.62","155.77","149.60","36.22M","2.38%"
"02/04/2024","151.04","151.62","155.32","150.79","39.16M","-0.79%"
"01/28/2024","152.24","149.09","153.38","146.52","51.80M","2.08%"
"01/21/2024","149.14","141.91","149.26","140.92","42.98M","4.85%"
"01/14/2024","142.24","146.51","146.58","139.62","39.93M","-3.42%"
"01/07/2024","147.27","148.42","149.95","144.11","48.31M","-2.08%"
"12/31/2023","150.40","149.99","154.35","148.68","34.81M","0.83%"
"12/24/2023","149.16","152.07","153.01","148.67","26.31M","-1.25%"
"12/17/2023","151.05","150.83","153.06","149.22","43.33M","1.14%"
"12/10/2023","149.35","144.84","149.93","141.65","76.17M","3.49%"
"12/03/2023","144.31","144.00","145.70","140.99","65.13M","-0.35%"
"11/26/2023","144.81","144.65","146.52","142.03","64.20M","-0.06%"
"11/19/2023","144.90","144.63","145.94","140.72","25.93M","0.30%"
"11/12/2023","144.46","143.15","146.64","140.74","55.13M","1.06%"
"11/05/2023","142.95","148.73","149.33","141.73","60.69M","-3.16%"
"10/29/2023","147.61","145.66","149.00","143.82","63.20M","2.26%"
"10/22/2023","144.35","163.30","164.43","143.96","79.78M","-13.47%"
"10/15/2023","166.83","165.34","170.17","163.85","33.92M","1.69%"
"10/08/2023","164.06","166.38","168.19","160.48","42.71M","1.13%"
"10/01/2023","162.23","168.34","168.57","158.99","40.94M","-3.79%"
"09/24/2023","168.62","166.33","171.70","165.99","34.84M","1.41%"
"09/17/2023","166.28","167.87","168.96","165.05","32.70M","-0.13%"
"09/10/2023","166.50","168.08","168.59","162.87","46.70M","-0.42%"
"09/03/2023","167.21","165.28","168.49","165.20","32.31M","1.77%"
"08/27/2023","164.30","159.53","164.69","159.10","28.96M","3.26%"
"08/20/2023","159.12","161.20","162.07","156.70","29.14M","-1.11%"
"08/13/2023","160.90","163.77","164.25","158.16","36.13M","-1.98%"
"08/06/2023","164.15","161.01","164.17","156.22","46.24M","3.04%"
"07/30/2023","159.31","161.13","163.98","158.06","44.54M","0.28%"
"07/23/2023","158.87","160.47","164.04","156.51","35.56M","0.11%"
"07/16/2023","158.69","153.35","158.83","152.37","31.43M","3.33%"
"07/09/2023","153.58","153.93","160.60","153.30","31.90M","-0.41%"
"07/02/2023","154.22","157.18","158.10","151.63","25.40M","-1.99%"
"06/25/2023","157.35","151.62","157.92","151.54","31.71M","3.96%"
"06/18/2023","151.35","156.15","156.57","150.13","40.03M","-3.76%"
"06/11/2023","157.26","157.06","160.77","156.15","53.12M","-1.01%"
"06/04/2023","158.86","158.45","160.49","153.20","37.10M","1.66%"
"05/28/2023","156.26","151.67","156.75","149.74","40.51M","1.41%"
"05/21/2023","154.08","153.79","158.57","152.09","43.94M","-0.74%"
"05/14/2023","155.23","157.23","158.16","151.53","33.85M","-0.89%"
"05/07/2023","156.62","161.57","162.30","153.89","27.77M","-2.24%"
"04/30/2023","160.21","167.71","168.73","155.42","37.64M","-4.96%"
"04/23/2023","168.58","169.10","172.38","164.05","35.37M","-0.32%"
"04/16/2023","169.12","172.39","172.54","168.02","33.59M","-1.93%"
"04/09/2023","172.44","168.49","172.88","167.31","29.34M","2.86%"
"04/02/2023","167.65","169.80","171.14","167.13","32.67M","2.75%"
"03/26/2023","163.16","157.40","163.72","155.69","33.55M","4.55%"
"03/19/2023","156.06","151.74","160.06","151.29","38.99M","2.44%"
"03/12/2023","152.34","156.44","164.02","149.91","80.22M","-4.59%"
"03/05/2023","159.67","164.34","166.80","158.67","34.13M","-3.21%"
"02/26/2023","164.96","163.01","165.58","160.28","36.30M","1.57%"
"02/19/2023","162.41","162.18","163.75","158.91","25.24M","-0.27%"
"02/12/2023","162.85","171.32","173.51","161.85","42.75M","-5.30%"
"02/05/2023","171.97","169.56","174.39","167.37","49.43M","1.49%"
"01/29/2023","169.45","178.00","178.34","166.82","56.35M","-5.57%"
"01/22/2023","179.45","181.21","187.81","176.35","55.06M","-0.80%"
"01/15/2023","180.90","178.44","182.38","176.16","35.98M","1.88%"
"01/08/2023","177.56","178.26","178.37","173.72","36.27M","0.57%"
"01/01/2023","176.56","178.04","179.39","170.85","28.53M","-1.63%"
"12/25/2022","179.49","178.36","180.23","175.93","18.81M","1.18%"
"12/18/2022","177.40","170.11","177.58","168.25","30.65M","5.14%"
"12/11/2022","168.72","168.93","174.92","167.10","55.40M","0.43%"
"12/04/2022","168.00","182.67","182.95","167.93","42.69M","-7.20%"
"11/27/2022","181.03","180.28","184.55","177.96","39.36M","-1.45%"
"11/20/2022","183.70","179.73","186.56","175.82","26.08M","0.39%"
"11/13/2022","182.99","186.31","189.68","179.65","39.63M","-1.86%"
"11/06/2022","186.46","182.50","187.10","177.22","37.32M","1.66%"
"10/30/2022","183.42","178.06","185.40","177.41","44.66M","1.91%"
"10/23/2022","179.98","172.08","182.86","171.61","41.11M","3.92%"
"10/16/2022","173.19","163.29","173.84","158.96","38.13M","8.15%"
"10/09/2022","160.14","161.00","165.99","154.11","35.94M","0.07%"
