"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2024","61.75","62.34","62.75","61.62","41.62M","-1.12%"
"12/22/2024","62.45","62.50","62.95","61.53","34.52M","-0.16%"
"12/15/2024","62.55","63.23","63.86","62.28","131.17M","-0.90%"
"12/08/2024","63.12","62.69","63.92","61.79","101.09M","0.94%"
"12/01/2024","62.53","64.05","64.19","61.90","106.13M","-2.42%"
"11/24/2024","64.08","64.32","65.10","63.77","75.19M","0.25%"
"11/17/2024","63.92","61.85","64.48","61.56","88.09M","3.53%"
"11/10/2024","61.74","63.99","64.12","61.39","84.37M","-3.41%"
"11/03/2024","63.92","65.08","65.47","63.18","72.24M","-1.68%"
"10/27/2024","65.01","66.96","67.39","64.89","67.01M","-2.85%"
"10/20/2024","66.92","70.00","70.32","66.58","83.95M","-5.00%"
"10/13/2024","70.44","69.57","71.21","69.47","55.72M","1.25%"
"10/06/2024","69.57","70.05","70.10","68.86","54.52M","-0.86%"
"09/29/2024","70.17","72.00","72.75","69.72","64.53M","-2.26%"
"09/22/2024","71.79","71.55","72.20","70.60","59.26M","0.21%"
"09/15/2024","71.64","71.77","72.38","70.38","96.69M","0.32%"
"09/08/2024","71.41","71.23","72.42","70.48","58.05M","0.38%"
"09/01/2024","71.14","72.44","73.53","70.89","74.25M","-1.84%"
"08/25/2024","72.47","69.83","72.57","69.73","79.00M","3.84%"
"08/18/2024","69.79","69.35","70.13","68.76","54.94M","0.88%"
"08/11/2024","69.18","68.45","69.30","67.83","59.15M","0.73%"
"08/04/2024","68.68","68.99","69.55","67.73","79.14M","-0.94%"
"07/28/2024","69.33","66.88","69.67","66.36","79.99M","3.40%"
"07/21/2024","67.05","65.25","67.11","64.32","66.71M","2.70%"
"07/14/2024","65.29","63.79","65.81","63.35","54.64M","2.50%"
"07/07/2024","63.70","63.59","64.11","62.28","55.46M","-0.09%"
"06/30/2024","63.76","64.03","64.30","62.85","39.80M","0.17%"
"06/23/2024","63.65","62.99","64.27","62.91","59.01M","1.40%"
"06/16/2024","62.77","62.37","63.10","61.94","62.77M","0.35%"
"06/09/2024","62.55","63.94","63.99","62.09","51.50M","-2.13%"
"06/02/2024","63.91","62.71","64.36","62.44","49.08M","1.56%"
"05/26/2024","62.93","61.79","63.03","61.07","53.46M","1.50%"
"05/19/2024","62.00","62.93","63.02","61.97","46.25M","-1.63%"
"05/12/2024","63.03","63.24","63.76","62.80","52.60M","-0.36%"
"05/05/2024","63.26","62.30","63.36","61.90","47.09M","1.75%"
"04/28/2024","62.17","61.92","62.83","61.21","72.12M","0.70%"
"04/21/2024","61.74","60.14","62.59","59.72","78.90M","2.61%"
"04/14/2024","60.17","58.61","60.35","57.93","69.80M","3.24%"
"04/07/2024","58.28","59.40","59.74","58.13","56.30M","-2.07%"
"03/31/2024","59.51","61.18","61.30","58.91","62.84M","-2.73%"
"03/24/2024","61.18","60.48","61.43","60.12","52.66M","1.14%"
"03/17/2024","60.49","59.89","60.99","59.80","70.72M","1.02%"
"03/10/2024","59.88","59.78","61.21","59.58","91.55M","0.60%"
"03/03/2024","59.52","59.23","60.11","58.97","61.76M","-0.02%"
"02/25/2024","59.53","61.24","61.27","59.34","57.42M","-2.73%"
"02/18/2024","61.20","59.60","61.62","59.51","59.31M","3.05%"
"02/11/2024","59.39","59.66","60.65","58.79","81.23M","-0.29%"
"02/04/2024","59.56","60.38","60.38","59.03","63.91M","-1.62%"
"01/28/2024","60.54","59.34","61.01","59.17","92.86M","1.97%"
"01/21/2024","59.37","59.76","60.06","58.66","73.09M","-0.77%"
"01/14/2024","59.83","60.39","60.43","59.53","45.60M","-0.93%"
"01/07/2024","60.39","59.68","60.46","59.42","61.28M","1.21%"
"12/31/2023","59.67","58.80","60.26","58.67","54.48M","1.26%"
"12/24/2023","58.93","58.06","58.98","58.06","32.63M","1.05%"
"12/17/2023","58.32","58.80","59.49","57.47","69.79M","-0.48%"
"12/10/2023","58.60","58.83","60.04","57.80","131.28M","-0.02%"
"12/03/2023","58.61","58.59","58.96","58.21","64.47M","-0.05%"
"11/26/2023","58.64","58.54","58.83","57.60","79.35M","0.12%"
"11/19/2023","58.57","57.05","58.75","56.96","43.09M","2.29%"
"11/12/2023","57.26","56.62","57.53","56.60","66.18M","0.95%"
"11/05/2023","56.72","56.78","57.47","56.06","60.57M","-0.04%"
"10/29/2023","56.74","55.43","57.59","55.42","72.81M","2.72%"
"10/22/2023","55.24","54.38","56.63","54.04","93.06M","1.23%"
"10/15/2023","54.57","53.02","55.02","52.84","73.97M","3.18%"
"10/08/2023","52.89","52.96","54.33","52.11","91.61M","-0.47%"
"10/01/2023","53.14","55.91","56.01","51.55","97.67M","-5.07%"
"09/24/2023","55.98","57.40","57.49","55.62","62.08M","-2.81%"
"09/17/2023","57.60","57.98","58.83","57.42","70.98M","-0.59%"
"09/10/2023","57.94","58.40","59.00","57.75","107.74M","-0.67%"
"09/03/2023","58.33","59.25","59.32","58.01","58.36M","-1.65%"
"08/27/2023","59.31","60.55","60.74","59.12","49.82M","-1.79%"
"08/20/2023","60.39","60.86","60.93","59.97","42.39M","-0.92%"
"08/13/2023","60.95","61.32","61.48","60.37","46.69M","-0.36%"
"08/06/2023","61.17","60.79","61.73","60.62","39.20M","0.76%"
"07/30/2023","60.71","62.45","62.58","60.62","53.33M","-2.83%"
"07/23/2023","62.48","62.42","63.26","61.39","62.06M","0.06%"
"07/16/2023","62.44","60.76","62.68","60.41","58.48M","2.53%"
"07/09/2023","60.90","59.97","61.04","58.84","68.60M","1.91%"
"07/02/2023","59.76","60.20","61.10","59.73","51.59M","-0.76%"
"06/25/2023","60.22","61.21","61.36","59.76","69.98M","-1.60%"
"06/18/2023","61.20","61.59","62.10","60.98","68.23M","-0.76%"
"06/11/2023","61.67","60.59","62.17","60.02","83.73M","1.98%"
"06/04/2023","60.47","61.00","61.44","59.82","69.85M","-1.13%"
"05/28/2023","61.16","60.09","61.32","59.37","103.73M","1.49%"
"05/21/2023","60.26","62.78","62.87","60.11","67.11M","-4.09%"
"05/14/2023","62.83","64.22","64.25","62.57","56.71M","-2.00%"
"05/07/2023","64.11","63.81","64.19","62.99","44.76M","0.14%"
"04/30/2023","64.02","64.15","64.69","63.27","52.10M","-0.20%"
"04/23/2023","64.15","64.75","64.99","63.11","69.01M","0.16%"
"04/16/2023","64.05","63.32","64.27","63.14","51.90M","1.59%"
"04/09/2023","63.05","62.49","63.16","62.02","46.28M","0.33%"
"04/02/2023","62.84","62.30","63.04","61.86","46.17M","1.31%"
"03/26/2023","62.03","61.14","62.25","60.95","57.46M","1.86%"
"03/19/2023","60.90","60.16","61.01","59.72","65.57M","1.47%"
"03/12/2023","60.02","59.29","60.87","59.24","105.55M","1.37%"
"03/05/2023","59.21","59.26","60.57","58.99","68.74M","-0.39%"
"02/26/2023","59.44","60.18","60.30","58.37","63.08M","-0.67%"
"02/19/2023","59.84","59.99","60.42","59.38","48.65M","-0.47%"
"02/12/2023","60.12","59.90","60.90","58.95","83.22M","0.84%"
"02/05/2023","59.62","59.79","60.34","58.88","64.20M","-0.35%"
"01/29/2023","59.83","60.54","61.58","59.23","74.86M","-1.09%"
"01/22/2023","60.49","60.28","61.85","59.80","59.95M","0.68%"
"01/15/2023","60.08","61.73","62.38","59.40","67.14M","-2.20%"
"01/08/2023","61.43","63.30","63.72","60.58","58.29M","-3.11%"
"01/01/2023","63.40","63.56","63.67","62.08","45.37M","-0.33%"
"12/25/2022","63.61","63.93","64.65","63.17","29.30M","-0.33%"
"12/18/2022","63.82","62.83","64.05","62.47","47.75M","1.71%"
