"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2024","107.78","108.00","108.88","107.05","10.37M","-0.52%"
"12/22/2024","108.34","108.11","109.03","107.16","8.79M","0.06%"
"12/15/2024","108.28","108.74","109.21","105.63","23.46M","-0.50%"
"12/08/2024","108.82","111.71","112.60","108.73","17.57M","-2.93%"
"12/01/2024","112.10","117.05","117.29","111.95","13.08M","-4.23%"
"11/24/2024","117.05","115.05","118.58","114.17","11.14M","2.05%"
"11/17/2024","114.70","111.99","116.00","111.67","16.32M","2.26%"
"11/10/2024","112.17","112.64","114.16","109.40","15.87M","-0.94%"
"11/03/2024","113.23","112.68","114.25","110.31","19.23M","0.49%"
"10/27/2024","112.68","117.21","118.06","112.60","15.72M","-3.86%"
"10/20/2024","117.21","121.05","121.25","117.21","12.56M","-2.94%"
"10/13/2024","120.76","114.17","120.85","114.10","18.60M","5.77%"
"10/06/2024","114.17","113.79","114.33","110.05","24.08M","0.11%"
"09/29/2024","114.05","116.29","117.09","113.81","20.00M","-1.66%"
"09/22/2024","115.97","116.86","117.76","114.83","15.70M","-0.34%"
"09/15/2024","116.37","118.11","118.31","113.95","16.96M","-0.80%"
"09/08/2024","117.31","116.93","118.18","115.34","13.79M","0.61%"
"09/01/2024","116.60","114.00","118.11","113.91","12.66M","2.33%"
"08/25/2024","113.95","112.53","114.08","111.78","12.65M","1.42%"
"08/18/2024","112.36","112.28","113.41","111.45","15.53M","0.05%"
"08/11/2024","112.30","112.63","114.54","111.61","13.07M","-0.33%"
"08/04/2024","112.67","114.11","114.98","111.01","21.07M","-1.10%"
"07/28/2024","113.92","108.28","116.67","107.89","18.90M","5.45%"
"07/21/2024","108.03","106.94","110.02","106.58","12.20M","1.04%"
"07/14/2024","106.92","104.69","108.59","104.01","14.10M","1.45%"
"07/07/2024","105.39","100.44","105.90","100.03","14.91M","4.80%"
"06/30/2024","100.56","100.73","101.26","99.21","6.96M","0.33%"
"06/23/2024","100.23","99.99","101.84","99.30","12.39M","0.39%"
"06/16/2024","99.84","101.95","102.10","99.40","13.49M","-2.46%"
"06/09/2024","102.36","102.50","103.26","100.45","11.23M","-0.25%"
"06/02/2024","102.62","103.09","104.87","101.73","14.31M","-0.92%"
"05/26/2024","103.57","101.90","103.64","100.02","11.43M","1.37%"
"05/19/2024","102.17","103.93","104.60","101.61","12.36M","-1.66%"
"05/12/2024","103.89","102.70","103.93","102.23","14.83M","1.19%"
"05/05/2024","102.67","100.49","103.64","99.85","17.58M","2.40%"
"04/28/2024","100.26","98.25","100.56","97.49","16.70M","2.61%"
"04/21/2024","97.71","98.13","99.61","96.68","12.27M","-0.54%"
"04/14/2024","98.24","95.45","98.40","92.75","13.90M","3.52%"
"04/07/2024","94.90","95.63","97.49","94.51","11.68M","-1.05%"
"03/31/2024","95.91","96.50","97.36","95.16","11.66M","-0.83%"
"03/24/2024","96.71","94.88","96.85","93.57","10.64M","2.22%"
"03/17/2024","94.61","94.85","96.05","94.11","12.97M","-0.11%"
"03/10/2024","94.71","94.82","96.30","94.34","18.10M","-0.24%"
"03/03/2024","94.94","90.22","95.13","90.22","16.51M","4.49%"
"02/25/2024","90.86","92.47","92.57","90.09","18.63M","-2.02%"
"02/18/2024","92.73","92.00","93.33","91.30","12.00M","0.93%"
"02/11/2024","91.88","91.56","92.93","90.30","17.49M","0.21%"
"02/04/2024","91.69","95.50","96.07","91.47","18.01M","-4.71%"
"01/28/2024","96.22","96.03","97.85","94.75","15.29M","0.37%"
"01/21/2024","95.87","95.60","96.30","94.15","15.25M","0.32%"
"01/14/2024","95.56","97.86","98.95","95.20","12.22M","-2.95%"
"01/07/2024","98.46","98.38","99.92","96.83","13.41M","-0.08%"
"12/31/2023","98.54","96.52","99.35","96.13","11.66M","1.55%"
"12/24/2023","97.04","96.62","97.51","96.00","8.42M","0.19%"
"12/17/2023","96.86","97.20","98.33","95.22","15.42M","0.24%"
"12/10/2023","96.63","94.04","99.48","93.59","28.52M","2.37%"
"12/03/2023","94.39","92.02","94.89","91.90","15.74M","1.89%"
"11/26/2023","92.64","90.86","92.65","90.17","17.18M","2.09%"
"11/19/2023","90.74","89.52","90.79","88.27","10.15M","0.81%"
"11/12/2023","90.01","88.19","90.92","86.61","19.52M","1.97%"
"11/05/2023","88.27","90.18","90.58","87.16","15.98M","-2.23%"
"10/29/2023","90.28","87.84","91.97","87.06","18.04M","3.14%"
"10/22/2023","87.53","86.20","89.75","85.79","14.84M","0.57%"
"10/15/2023","87.03","89.00","89.86","87.01","15.30M","-1.86%"
"10/08/2023","88.68","86.67","90.12","86.38","14.74M","2.02%"
"10/01/2023","86.92","87.74","87.99","83.06","22.66M","-1.52%"
"09/24/2023","88.26","92.83","93.39","87.63","17.48M","-5.43%"
"09/17/2023","93.33","95.25","95.46","92.70","14.95M","-1.94%"
"09/10/2023","95.18","90.85","96.08","90.73","26.36M","4.57%"
"09/03/2023","91.02","87.78","91.17","86.04","14.47M","3.51%"
"08/27/2023","87.93","90.59","91.17","87.50","13.58M","-2.93%"
"08/20/2023","90.58","90.80","91.36","89.06","13.26M","-0.68%"
"08/13/2023","91.20","93.88","93.88","90.42","12.74M","-2.79%"
"08/06/2023","93.82","89.58","93.99","89.24","18.13M","4.87%"
"07/30/2023","89.46","93.74","94.17","88.92","13.55M","-4.16%"
"07/23/2023","93.34","95.00","96.41","93.07","12.50M","-1.52%"
"07/16/2023","94.78","92.76","94.99","90.17","11.30M","1.90%"
"07/09/2023","93.01","89.54","93.46","88.57","13.68M","3.61%"
"07/02/2023","89.77","89.73","92.45","89.48","8.57M","0.03%"
"06/25/2023","89.74","90.06","91.12","88.10","12.18M","0.02%"
"06/18/2023","89.72","92.02","92.26","89.54","11.64M","-2.67%"
"06/11/2023","92.18","91.74","92.97","89.90","21.93M","0.72%"
"06/04/2023","91.52","90.00","92.16","89.21","12.97M","2.05%"
"05/28/2023","89.68","88.80","89.90","87.20","14.65M","1.10%"
"05/21/2023","88.70","92.90","93.21","87.52","15.93M","-4.12%"
"05/14/2023","92.51","97.65","97.85","91.99","12.36M","-5.07%"
"05/07/2023","97.45","99.10","99.81","96.92","14.32M","-1.92%"
"04/30/2023","99.36","98.85","100.13","97.11","14.64M","0.49%"
"04/23/2023","98.88","98.60","100.39","97.56","11.88M","0.53%"
"04/16/2023","98.36","98.18","99.15","97.23","10.49M","0.74%"
"04/09/2023","97.64","99.27","100.03","97.09","12.80M","-2.11%"
"04/02/2023","99.74","95.11","99.78","94.49","18.60M","3.39%"
"03/26/2023","96.47","94.74","97.11","94.32","13.78M","2.23%"
"03/19/2023","94.37","96.86","97.60","91.37","16.71M","-2.10%"
"03/12/2023","96.39","92.72","98.65","92.72","22.95M","3.83%"
"03/05/2023","92.83","95.49","96.17","92.35","13.36M","-2.68%"
"02/26/2023","95.39","97.02","97.91","91.72","15.60M","-1.58%"
"02/19/2023","96.92","98.99","99.33","95.49","9.54M","-2.58%"
"02/12/2023","99.49","98.89","100.44","96.45","12.59M","0.38%"
"02/05/2023","99.11","100.15","101.91","96.77","16.09M","-1.46%"
"01/29/2023","100.58","101.23","103.83","98.46","17.38M","-0.98%"
"01/22/2023","101.58","101.53","102.35","99.16","12.81M","-0.24%"
"01/15/2023","101.82","105.18","105.43","100.05","13.70M","-3.01%"
"01/08/2023","104.98","105.03","106.43","104.26","12.03M","-0.19%"
"01/01/2023","105.18","103.20","105.79","102.19","9.59M","2.13%"
"12/25/2022","102.99","103.09","104.48","101.99","6.89M","0.00%"
"12/18/2022","102.99","100.13","103.15","99.20","12.41M","2.64%"
"12/11/2022","100.34","101.43","105.52","99.18","27.04M","-0.01%"
"12/04/2022","100.35","98.74","101.26","98.52","11.74M","0.83%"
"11/27/2022","99.52","99.20","101.90","97.24","15.89M","-0.10%"
"11/20/2022","99.62","96.55","99.99","96.18","9.65M","2.92%"
"11/13/2022","96.79","95.65","99.08","94.93","19.49M","1.70%"
"11/06/2022","95.17","93.50","97.36","90.36","17.01M","1.67%"
"10/30/2022","93.61","93.71","95.39","91.43","17.13M","-0.41%"
"10/23/2022","94.00","89.06","94.22","88.04","14.54M","6.26%"
"10/16/2022","88.46","88.00","91.10","86.72","16.17M","1.89%"
"10/09/2022","86.82","89.11","90.50","83.76","24.09M","-2.53%"
"10/02/2022","89.07","94.46","97.33","88.58","18.15M","-4.25%"
"09/25/2022","93.02","103.50","103.61","92.80","17.45M","-10.31%"
"09/18/2022","103.71","105.83","106.87","102.52","9.52M","-2.26%"
"09/11/2022","106.11","109.96","111.26","105.90","14.02M","-3.43%"
"09/04/2022","109.88","107.23","110.73","106.42","9.21M","2.69%"
"08/28/2022","107.00","108.41","109.92","106.68","9.69M","-1.59%"
"08/21/2022","108.73","112.98","113.28","108.61","11.55M","-3.98%"
"08/14/2022","113.24","110.36","113.67","109.63","10.40M","2.71%"
"08/07/2022","110.25","109.87","110.61","108.34","14.35M","1.00%"
"07/31/2022","109.16","109.87","111.98","107.31","13.35M","-0.70%"
"07/24/2022","109.93","104.63","110.42","104.40","10.07M","4.72%"
"07/17/2022","104.98","106.90","107.12","102.17","11.89M","-2.28%"
"07/10/2022","107.43","106.04","108.98","105.19","11.47M","1.44%"
"07/03/2022","105.91","109.70","109.70","104.54","8.48M","-3.38%"
"06/26/2022","109.62","104.03","109.79","103.73","12.15M","4.87%"
"06/19/2022","104.53","97.94","104.80","97.62","12.47M","6.86%"
"06/12/2022","97.82","106.78","107.00","96.87","20.36M","-9.23%"
"06/05/2022","107.77","111.51","112.41","105.95","11.13M","-3.05%"
"05/29/2022","111.16","113.17","113.54","109.92","11.85M","-2.83%"
"05/22/2022","114.40","110.65","114.50","109.81","13.71M","4.16%"
"05/15/2022","109.83","109.65","110.88","107.13","17.55M","0.48%"
"05/08/2022","109.30","109.64","112.20","107.40","16.80M","-1.81%"
"05/01/2022","111.32","110.67","111.97","107.47","13.75M","1.05%"
"04/24/2022","110.16","114.82","115.83","109.78","18.32M","-3.61%"
"04/17/2022","114.28","115.28","116.33","113.59","11.19M","-0.50%"
"04/10/2022","114.85","115.46","115.96","113.27","9.90M","-0.43%"
"04/03/2022","115.35","112.10","115.79","110.41","12.63M","2.24%"
"03/27/2022","112.82","109.00","112.90","108.25","12.49M","3.38%"
"03/20/2022","109.13","105.32","109.36","104.86","11.08M","3.88%"
"03/13/2022","105.05","107.05","107.70","104.17","14.85M","-1.03%"
"03/06/2022","106.14","105.40","107.45","104.44","14.72M","0.84%"
"02/27/2022","105.26","99.21","105.37","98.67","13.74M","5.03%"
"02/20/2022","100.22","100.00","100.34","95.48","14.90M","0.41%"
"02/13/2022","99.81","100.55","101.11","97.53","18.30M","0.06%"
"02/06/2022","99.75","104.14","105.36","99.56","17.48M","-4.32%"
"01/30/2022","104.25","103.87","105.76","102.39","15.19M","-0.46%"
"01/23/2022","104.73","103.62","104.77","100.25","18.36M","1.70%"
"01/16/2022","102.98","103.33","104.21","101.31","11.42M","-1.02%"
"01/09/2022","104.04","104.65","105.32","102.20","13.85M","-0.44%"
"01/02/2022","104.50","104.91","104.97","102.26","15.21M","-0.38%"
"12/26/2021","104.90","102.97","105.23","102.68","7.28M","1.87%"
"12/19/2021","102.97","102.52","104.49","101.88","8.76M","-0.07%"
"12/12/2021","103.04","101.50","105.17","101.45","20.35M","1.51%"
"12/05/2021","101.51","100.52","102.70","99.26","19.26M","1.63%"
"11/28/2021","99.88","99.92","100.49","96.58","14.89M","0.60%"
"11/21/2021","99.28","98.50","101.19","98.32","11.13M","0.87%"
"11/14/2021","98.42","100.24","101.01","97.96","14.29M","-1.46%"
"11/07/2021","99.88","101.88","102.25","99.58","12.95M","-1.77%"
