"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2024","594.61","590.78","595.43","583.33","26.23M","-0.49%"
"12/22/2024","597.53","593.68","605.34","590.48","36.32M","0.71%"
"12/15/2024","593.33","609.01","610.84","583.67","112.88M","-2.29%"
"12/08/2024","607.24","610.75","611.48","605.16","27.91M","-0.59%"
"12/01/2024","610.83","605.97","612.09","605.38","26.52M","0.95%"
"11/24/2024","605.07","602.47","606.32","598.15","16.85M","1.11%"
"11/17/2024","598.45","589.09","599.08","586.99","21.70M","1.66%"
"11/10/2024","588.66","602.80","603.09","586.75","22.15M","-2.07%"
"11/03/2024","601.13","573.94","602.56","570.64","21.12M","4.78%"
"10/27/2024","573.72","585.41","586.14","571.18","22.89M","-1.41%"
"10/20/2024","581.90","586.67","587.68","577.23","16.93M","-0.95%"
"10/13/2024","587.46","584.03","588.93","581.41","14.25M","0.88%"
"10/06/2024","582.35","574.03","583.09","569.33","11.81M","1.16%"
"09/29/2024","575.69","573.19","577.19","567.97","20.96M","0.28%"
"09/22/2024","574.07","574.31","577.47","571.69","86.26M","0.19%"
"09/15/2024","572.99","564.87","576.10","563.03","23.77M","1.41%"
"09/08/2024","565.05","547.65","566.16","542.91","22.40M","3.99%"
"09/01/2024","543.37","563.53","563.87","542.41","22.12M","-4.13%"
"08/25/2024","566.75","566.30","567.33","558.08","16.53M","0.27%"
"08/18/2024","565.23","557.79","566.29","556.94","17.85M","1.40%"
"08/11/2024","557.43","537.14","558.05","533.90","21.30M","4.03%"
"08/04/2024","535.85","514.37","537.35","513.02","31.35M","0.01%"
"07/28/2024","535.77","548.99","557.82","531.46","20.42M","-2.12%"
"07/21/2024","547.39","556.05","559.73","540.38","18.96M","-0.83%"
"07/14/2024","551.98","565.09","568.24","550.91","15.24M","-1.96%"
"07/07/2024","563.04","558.46","566.72","557.20","13.17M","0.95%"
"06/30/2024","557.76","548.58","558.06","545.57","13.83M","1.92%"
"06/23/2024","547.23","547.27","553.25","545.45","31.26M","0.04%"
"06/16/2024","547.01","543.24","551.29","542.76","21.79M","0.58%"
"06/09/2024","543.86","536.00","545.23","533.11","21.96M","1.33%"
"06/02/2024","536.73","531.71","539.62","525.25","36.44M","1.28%"
"05/26/2024","529.96","532.94","533.16","520.96","14.36M","-0.41%"
"05/19/2024","532.15","532.22","535.74","527.37","12.58M","0.00%"
"05/12/2024","532.13","525.20","534.18","522.38","19.19M","1.67%"
"05/05/2024","523.39","516.29","525.25","515.85","20.97M","1.86%"
"04/28/2024","513.84","512.65","515.03","501.97","19.77M","0.60%"
"04/21/2024","510.77","500.33","512.39","497.85","20.63M","2.66%"
"04/14/2024","497.53","517.69","517.81","496.30","33.49M","-3.07%"
"04/07/2024","513.31","521.71","523.28","511.60","31.23M","-1.47%"
"03/31/2024","520.99","526.36","526.96","515.27","32.14M","-0.90%"
"03/24/2024","525.73","522.31","527.16","520.95","21.72M","0.35%"
"03/17/2024","523.92","518.16","526.66","515.27","34.86M","2.08%"
"03/10/2024","513.23","512.98","519.92","511.02","46.95M","-0.21%"
"03/03/2024","514.29","514.52","520.78","507.35","23.13M","-0.21%"
"02/25/2024","515.39","510.82","515.80","507.21","22.38M","0.99%"
"02/18/2024","510.34","500.12","512.63","495.94","18.60M","1.67%"
"02/11/2024","501.95","503.61","505.92","493.07","21.12M","-0.34%"
"02/04/2024","503.65","496.06","504.07","492.59","23.64M","1.40%"
"01/28/2024","496.71","490.05","498.43","485.19","32.35M","1.41%"
"01/21/2024","489.82","486.37","491.45","485.12","26.14M","1.06%"
"01/14/2024","484.68","477.51","485.02","472.11","26.68M","1.19%"
"01/07/2024","478.96","470.62","480.85","470.55","30.57M","1.88%"
"12/31/2023","470.12","474.40","475.88","468.65","27.81M","-1.57%"
"12/24/2023","477.63","476.32","479.79","475.54","13.42M","0.38%"
"12/17/2023","475.82","475.12","479.08","470.04","32.97M","0.49%"
"12/10/2023","473.52","461.82","475.97","461.62","35.67M","2.42%"
"12/03/2023","462.35","457.70","462.87","456.45","24.18M","0.26%"
"11/26/2023","461.13","456.81","461.76","455.41","18.99M","0.81%"
"11/19/2023","457.44","452.61","458.48","452.58","12.35M","1.03%"
"11/12/2023","452.78","441.21","453.48","440.41","19.99M","2.28%"
"11/05/2023","442.67","437.49","442.92","435.37","17.69M","1.39%"
"10/29/2023","436.59","415.36","438.24","414.04","28.75M","5.83%"
"10/22/2023","412.55","421.45","426.65","411.02","30.32M","-2.50%"
"10/15/2023","423.12","435.74","440.05","422.94","34.48M","-2.37%"
"10/08/2023","433.41","429.45","439.28","428.92","19.25M","0.47%"
"10/01/2023","431.37","428.49","433.02","422.03","21.88M","0.45%"
"09/24/2023","429.43","432.99","436.18","424.16","27.08M","-1.12%"
"09/17/2023","434.30","447.05","448.98","433.90","27.63M","-2.85%"
"09/10/2023","447.05","450.69","453.55","446.97","18.13M","-0.18%"
"09/03/2023","447.87","453.21","453.55","445.16","13.70M","-1.27%"
