"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2024","144.19","144.84","145.77","142.95","24.01M","-0.59%"
"12/22/2024","145.05","144.63","146.60","143.45","22.13M","0.40%"
"12/15/2024","144.47","146.73","147.25","142.75","55.63M","-1.47%"
"12/08/2024","146.62","149.29","150.89","145.04","45.76M","-1.80%"
"12/01/2024","149.31","154.75","155.00","148.38","42.24M","-3.68%"
"11/24/2024","155.01","155.17","157.04","153.16","27.77M","-0.10%"
"11/17/2024","155.17","152.59","157.12","151.81","43.22M","0.76%"
"11/10/2024","154.00","155.62","157.58","150.76","40.54M","-0.95%"
"11/03/2024","155.47","159.70","160.85","155.41","36.57M","-2.91%"
"10/27/2024","160.13","161.13","162.17","159.03","29.75M","-0.47%"
"10/20/2024","160.88","165.10","166.00","160.61","30.99M","-2.57%"
"10/13/2024","165.12","161.40","166.75","159.00","33.20M","2.27%"
"10/06/2024","161.46","160.25","162.66","158.95","25.13M","0.73%"
"09/29/2024","160.29","161.57","162.75","158.77","25.23M","-0.69%"
"09/22/2024","161.40","164.40","164.50","160.02","29.81M","-1.68%"
"09/15/2024","164.16","166.36","168.35","163.55","31.77M","-0.82%"
"09/08/2024","165.52","164.84","168.46","162.71","28.25M","0.69%"
"09/01/2024","164.38","165.24","168.85","164.12","24.51M","-0.89%"
"08/25/2024","165.86","164.17","165.98","162.16","31.81M","1.05%"
"08/18/2024","164.13","159.46","164.22","159.13","30.35M","2.97%"
"08/11/2024","159.39","160.97","161.70","156.44","34.71M","-0.77%"
"08/04/2024","160.62","163.79","165.78","158.03","35.31M","-2.14%"
"07/28/2024","164.14","159.97","164.85","157.71","38.96M","2.18%"
"07/21/2024","160.64","154.77","161.58","151.57","38.65M","3.85%"
"07/14/2024","154.69","150.08","157.49","148.87","44.55M","3.21%"
"07/07/2024","149.88","146.40","150.88","145.18","28.93M","2.32%"
"06/30/2024","146.48","146.07","148.70","144.50","18.77M","0.22%"
"06/23/2024","146.16","149.00","149.72","144.84","35.04M","-1.74%"
"06/16/2024","148.75","145.02","149.08","144.74","36.75M","2.21%"
"06/09/2024","145.54","146.53","147.56","143.88","28.51M","-1.05%"
"06/02/2024","147.08","147.25","148.90","144.66","32.22M","0.28%"
"05/26/2024","146.67","146.79","147.48","143.71","41.88M","-0.20%"
"05/19/2024","146.97","153.10","154.08","146.76","37.37M","-4.96%"
"05/12/2024","154.64","150.04","154.86","149.71","33.54M","3.16%"
"05/05/2024","149.91","149.87","150.10","147.91","32.37M","0.43%"
"04/28/2024","149.27","146.14","152.33","144.53","44.75M","2.14%"
"04/21/2024","146.14","148.51","150.49","145.95","43.81M","-1.20%"
"04/14/2024","147.91","148.37","149.49","143.13","50.29M","0.26%"
"04/07/2024","147.52","151.99","153.04","147.15","34.36M","-3.20%"
"03/31/2024","152.39","157.72","158.15","151.61","32.30M","-3.67%"
"03/24/2024","158.19","155.40","159.14","154.76","29.01M","1.91%"
"03/17/2024","155.23","158.57","158.69","155.10","33.59M","-1.86%"
"03/10/2024","158.18","159.49","163.11","157.10","39.05M","-0.84%"
"03/03/2024","159.52","161.32","161.61","158.24","33.08M","-1.60%"
"02/25/2024","162.12","161.80","162.57","159.64","32.13M","0.17%"
"02/18/2024","161.84","156.56","162.25","156.44","31.77M","3.38%"
"02/11/2024","156.55","156.58","158.48","154.84","40.42M","-0.13%"
"02/04/2024","156.76","156.61","159.37","155.31","43.33M","0.10%"
"01/28/2024","156.61","159.01","160.62","155.94","38.25M","-1.81%"
"01/21/2024","159.50","162.00","163.58","156.91","34.29M","-1.35%"
"01/14/2024","161.68","161.57","162.25","159.69","24.44M","-0.44%"
"01/07/2024","162.39","161.10","163.28","159.61","27.31M","0.78%"
"12/31/2023","161.13","156.93","161.98","156.79","30.22M","2.80%"
"12/24/2023","156.74","155.00","157.24","154.85","18.15M","0.82%"
"12/17/2023","155.46","155.21","156.66","153.11","29.29M","0.19%"
"12/10/2023","155.16","154.50","157.16","151.77","53.15M","0.48%"
"12/03/2023","154.42","158.00","160.02","153.84","35.62M","-2.50%"
"11/26/2023","158.38","152.29","158.46","150.84","40.37M","3.86%"
"11/19/2023","152.50","147.91","152.68","147.54","22.76M","1.81%"
"11/12/2023","149.79","147.25","150.79","146.65","33.23M","1.72%"
"11/05/2023","147.25","151.78","152.43","145.64","29.06M","-2.70%"
"10/29/2023","151.34","146.09","152.27","146.00","31.79M","3.94%"
"10/22/2023","145.60","152.86","153.50","144.95","36.91M","-4.84%"
"10/15/2023","153.00","157.82","158.95","150.15","42.69M","-2.45%"
"10/08/2023","156.85","157.18","159.27","155.07","27.76M","-0.50%"
"10/01/2023","157.64","155.42","158.30","153.32","29.75M","1.21%"
"09/24/2023","155.75","160.07","160.36","155.26","37.38M","-2.96%"
"09/17/2023","160.50","162.12","163.54","160.25","24.68M","-0.59%"
"09/10/2023","161.45","161.06","165.27","160.45","40.90M","0.55%"
"09/03/2023","160.56","160.56","161.97","157.35","35.66M","0.05%"
"08/27/2023","160.48","165.00","166.21","160.01","64.55M","-3.47%"
"08/20/2023","166.25","169.69","169.85","163.47","416.11M","-3.62%"
"08/13/2023","172.49","173.52","175.60","171.31","359.09M","-0.78%"
"08/06/2023","173.85","169.49","175.97","169.36","182.21M","2.85%"
"07/30/2023","169.04","169.69","172.68","166.06","93.88M","-3.12%"
"07/23/2023","174.48","171.50","175.36","169.75","69.82M","2.52%"
"07/16/2023","170.19","159.75","170.82","157.33","53.32M","6.46%"
"07/09/2023","159.87","159.43","160.30","157.41","31.05M","0.39%"
"07/02/2023","159.25","164.34","164.39","159.20","24.62M","-3.79%"
"06/25/2023","165.52","164.98","165.94","161.33","30.81M","0.02%"
"06/18/2023","165.48","164.26","166.27","162.69","30.11M","0.76%"
"06/11/2023","164.23","160.00","164.99","158.73","39.84M","2.64%"
"06/04/2023","160.01","156.75","160.73","156.39","30.49M","1.94%"
"05/28/2023","156.97","153.97","157.31","153.15","32.48M","1.70%"
"05/21/2023","154.35","158.00","159.14","153.72","30.22M","-2.87%"
"05/14/2023","158.91","160.80","161.03","157.56","29.24M","-1.16%"
"05/07/2023","160.78","161.99","162.57","159.39","27.04M","-1.17%"
"04/30/2023","162.68","163.60","166.18","161.25","28.69M","-0.62%"
"04/23/2023","163.70","162.69","165.35","161.87","28.82M","0.62%"
"04/16/2023","162.69","165.74","166.24","159.65","45.88M","-1.90%"
"04/09/2023","165.84","164.63","166.33","163.10","29.89M","0.42%"
"04/02/2023","165.15","154.95","167.23","153.94","41.48M","6.55%"
"03/26/2023","155.00","154.20","155.19","151.73","33.35M","1.54%"
"03/19/2023","152.65","152.47","154.13","150.11","38.20M","0.18%"
"03/12/2023","152.38","152.09","155.91","151.57","55.13M","0.51%"
"03/05/2023","151.61","154.66","156.25","150.71","37.78M","-1.56%"
"02/26/2023","154.02","156.45","156.90","151.23","37.61M","-1.25%"
"02/19/2023","155.97","159.65","160.35","155.21","37.32M","-2.76%"
"02/12/2023","160.39","161.33","162.97","156.62","48.94M","-1.09%"
"02/05/2023","162.15","164.55","164.85","161.07","35.36M","-1.49%"
"01/29/2023","164.61","167.93","168.54","161.05","61.70M","-2.15%"
