"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2024","99.14","99.57","100.35","98.27","25.67M","-0.56%"
"12/22/2024","99.70","99.09","100.35","98.20","23.11M","1.68%"
"12/15/2024","98.05","101.25","102.28","97.82","79.07M","-3.87%"
"12/08/2024","102.00","102.86","105.07","99.26","71.81M","-1.06%"
"12/01/2024","103.09","101.73","104.14","100.46","58.95M","1.43%"
"11/24/2024","101.64","100.08","103.45","99.51","59.87M","2.48%"
"11/17/2024","99.18","96.56","101.79","95.26","69.07M","2.98%"
"11/10/2024","96.31","102.53","103.40","94.48","56.40M","-6.42%"
"11/03/2024","102.92","102.00","103.23","100.52","43.36M","1.02%"
"10/27/2024","101.88","104.60","105.11","98.60","57.76M","-2.02%"
"10/20/2024","103.98","109.08","109.17","103.86","49.21M","-4.34%"
"10/13/2024","108.70","109.43","111.58","108.56","44.03M","-0.94%"
"10/06/2024","109.73","109.69","110.98","107.81","40.70M","-0.04%"
"09/29/2024","109.77","113.61","114.79","109.39","47.71M","-3.45%"
"09/22/2024","113.69","117.20","118.16","112.93","47.46M","-2.97%"
"09/15/2024","117.17","115.80","119.38","115.80","58.06M","1.13%"
"09/08/2024","115.86","113.15","116.90","112.41","50.49M","-1.68%"
"09/01/2024","117.84","118.26","120.30","114.47","35.92M","-0.51%"
"08/25/2024","118.45","116.73","118.75","115.25","33.50M","1.59%"
"08/18/2024","116.60","113.66","116.81","113.31","36.28M","2.58%"
"08/11/2024","113.67","114.71","114.86","111.51","46.39M","-0.77%"
"08/04/2024","114.55","114.95","115.12","110.72","47.04M","-0.56%"
"07/28/2024","115.20","125.78","127.99","111.40","98.06M","-8.03%"
"07/21/2024","125.26","125.95","128.73","124.18","28.79M","-0.41%"
"07/14/2024","125.77","128.00","129.03","122.37","39.09M","-1.56%"
"07/07/2024","127.76","126.80","129.93","123.70","30.75M","1.04%"
"06/30/2024","126.45","125.38","129.19","124.91","27.97M","2.14%"
"06/23/2024","123.80","131.27","134.63","120.87","92.79M","-5.29%"
"06/16/2024","130.72","128.21","131.20","126.75","42.59M","0.96%"
"06/09/2024","129.48","130.63","132.71","128.59","35.65M","-0.91%"
"06/02/2024","130.67","125.77","131.37","125.77","32.19M","4.09%"
"05/26/2024","125.54","128.84","129.08","122.70","49.95M","-3.05%"
"05/19/2024","129.49","130.81","132.79","129.16","28.34M","-1.30%"
"05/12/2024","131.19","129.51","131.96","128.02","34.30M","0.87%"
"05/05/2024","130.06","127.18","131.51","126.76","34.83M","2.00%"
"04/28/2024","127.51","131.72","132.20","127.18","33.31M","-2.81%"
"04/21/2024","131.20","126.71","132.80","125.35","43.19M","4.31%"
"04/14/2024","125.78","126.69","127.82","124.50","32.35M","0.03%"
"04/07/2024","125.74","127.64","127.92","125.05","30.32M","-1.76%"
"03/31/2024","127.99","131.68","132.30","127.00","32.15M","-3.00%"
"03/24/2024","131.95","124.08","133.10","123.77","42.72M","6.54%"
"03/17/2024","123.85","121.85","124.49","120.38","44.98M","1.92%"
"03/10/2024","121.52","124.65","124.65","119.23","85.19M","-1.60%"
"03/03/2024","123.50","124.46","126.54","122.06","48.04M","-2.73%"
"02/25/2024","126.96","129.38","129.70","126.42","32.91M","-1.92%"
"02/18/2024","129.45","128.13","130.24","126.80","23.50M","1.30%"
"02/11/2024","127.79","125.00","128.09","124.40","31.18M","1.87%"
"02/04/2024","125.45","126.98","128.06","125.04","35.12M","-0.76%"
"01/28/2024","126.41","121.35","127.56","120.18","49.21M","4.63%"
"01/21/2024","120.82","119.04","121.02","117.27","36.14M","1.62%"
"01/14/2024","118.89","118.49","119.40","116.62","30.55M","0.22%"
"01/07/2024","118.63","117.59","119.94","116.18","36.72M","1.20%"
"12/31/2023","117.22","109.16","117.65","109.16","41.00M","7.52%"
