"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2024","82.32","82.79","83.00","81.65","14.10M","-0.99%"
"12/22/2024","83.14","82.85","83.32","81.96","8.48M","0.34%"
"12/15/2024","82.86","83.16","83.36","81.38","26.00M","-0.41%"
"12/08/2024","83.20","84.90","85.20","82.71","17.79M","-1.90%"
"12/01/2024","84.81","89.39","89.39","84.50","21.36M","-4.85%"
"11/24/2024","89.13","87.95","90.24","87.41","15.21M","1.75%"
"11/17/2024","87.60","87.00","88.63","86.84","21.85M","-0.38%"
"11/10/2024","87.93","88.14","89.13","86.61","18.18M","-0.80%"
"11/03/2024","88.64","88.54","89.21","86.37","22.27M","0.11%"
"10/27/2024","88.54","92.22","92.69","88.30","32.70M","-3.64%"
"10/20/2024","91.88","93.42","94.45","91.81","16.17M","-1.46%"
"10/13/2024","93.24","88.75","93.35","88.75","17.48M","4.81%"
"10/06/2024","88.96","90.06","90.23","88.21","18.23M","-1.49%"
"09/29/2024","90.31","90.05","91.86","89.35","25.29M","0.23%"
"09/22/2024","90.10","89.85","90.85","88.64","21.78M","0.45%"
"09/15/2024","89.70","89.00","90.14","88.00","27.76M","0.29%"
"09/08/2024","89.44","88.44","90.20","88.14","17.67M","1.17%"
"09/01/2024","88.41","86.43","90.34","86.36","19.89M","2.33%"
"08/25/2024","86.40","86.28","86.82","84.88","20.37M","0.33%"
"08/18/2024","86.12","86.83","87.70","86.03","20.71M","-1.42%"
"08/11/2024","87.36","87.00","87.85","86.26","15.90M","0.65%"
"08/04/2024","86.80","88.99","89.68","85.61","24.05M","-2.01%"
"07/28/2024","88.58","82.42","89.24","82.20","30.76M","7.80%"
"07/21/2024","82.17","81.48","83.46","81.29","18.04M","0.95%"
"07/14/2024","81.40","79.52","82.84","79.30","17.29M","1.76%"
"07/07/2024","79.99","78.02","80.35","77.62","14.65M","2.50%"
"06/30/2024","78.04","78.03","78.63","76.96","9.48M","0.61%"
"06/23/2024","77.57","78.46","79.58","77.18","17.71M","-1.13%"
"06/16/2024","78.46","78.07","79.43","77.25","19.58M","-0.24%"
"06/09/2024","78.65","77.86","79.40","77.61","17.27M","0.91%"
"06/02/2024","77.94","79.78","80.84","77.89","21.97M","-2.75%"
"05/26/2024","80.14","77.56","80.23","76.64","18.76M","3.07%"
"05/19/2024","77.75","79.68","80.14","77.11","16.35M","-2.25%"
"05/12/2024","79.54","78.50","79.85","78.23","24.33M","1.79%"
"05/05/2024","78.14","75.51","78.74","74.88","34.16M","3.02%"
"04/28/2024","75.85","73.67","75.98","73.20","24.41M","3.61%"
"04/21/2024","73.21","71.90","74.85","71.66","28.75M","1.47%"
"04/14/2024","72.15","68.99","72.18","67.53","26.26M","4.98%"
"04/07/2024","68.73","69.76","70.60","68.32","24.75M","-1.69%"
"03/31/2024","69.91","71.49","72.08","69.16","22.32M","-2.55%"
"03/24/2024","71.74","69.90","71.90","69.15","15.49M","2.78%"
"03/17/2024","69.80","69.18","70.80","68.99","16.79M","1.03%"
"03/10/2024","69.09","68.92","70.43","68.69","24.70M","0.12%"
"03/03/2024","69.01","66.87","69.51","66.62","22.06M","3.22%"
"02/25/2024","66.86","67.41","67.64","65.99","26.75M","-1.23%"
"02/18/2024","67.69","66.62","68.34","66.43","17.39M","1.82%"
"02/11/2024","66.48","66.94","68.56","65.80","33.13M","-0.64%"
"02/04/2024","66.91","68.30","68.34","66.36","20.50M","-2.53%"
"01/28/2024","68.65","69.15","70.53","67.96","27.83M","-0.67%"
"01/21/2024","69.11","68.94","69.44","67.70","25.47M","0.23%"
"01/14/2024","68.95","71.10","71.10","68.45","16.09M","-3.46%"
"01/07/2024","71.42","71.50","72.18","70.42","15.53M","-0.27%"
"12/31/2023","71.61","69.67","72.54","69.60","19.36M","2.12%"
"12/24/2023","70.12","69.30","70.32","69.01","10.59M","0.98%"
"12/17/2023","69.44","70.67","71.95","68.71","20.39M","-2.00%"
"12/10/2023","70.86","71.23","73.42","70.03","32.84M","-0.90%"
"12/03/2023","71.50","71.25","72.55","70.79","18.96M","-0.03%"
"11/26/2023","71.52","69.63","71.53","69.44","24.91M","2.74%"
"11/19/2023","69.61","69.65","69.94","68.63","10.48M","-0.23%"
"11/12/2023","69.77","67.95","70.35","67.19","23.40M","2.45%"
"11/05/2023","68.10","70.41","70.72","67.52","27.08M","-3.25%"
"10/29/2023","70.39","66.86","71.33","66.61","25.21M","5.80%"
"10/22/2023","66.53","65.08","67.64","64.53","20.13M","1.22%"
"10/15/2023","65.73","67.07","67.72","65.70","20.65M","-1.23%"
"10/08/2023","66.55","65.00","67.28","64.88","19.57M","2.43%"
"10/01/2023","64.97","64.30","65.14","61.56","31.94M","0.39%"
"09/24/2023","64.72","69.06","69.40","64.36","21.71M","-6.70%"
"09/17/2023","69.37","71.21","71.74","69.12","19.23M","-2.42%"
"09/10/2023","71.09","67.83","71.43","67.45","21.28M","4.65%"
"09/03/2023","67.93","67.05","67.94","65.93","17.07M","1.06%"
"08/27/2023","67.22","68.21","69.18","66.41","16.07M","-1.28%"
"08/20/2023","68.09","67.75","68.64","67.14","11.67M","0.41%"
"08/13/2023","67.81","69.41","69.74","67.46","13.77M","-2.43%"
"08/06/2023","69.50","68.00","69.97","67.68","16.31M","2.45%"
"07/30/2023","67.84","72.71","72.88","67.50","23.92M","-6.23%"
"07/23/2023","72.35","73.24","73.84","72.16","21.19M","-0.97%"
"07/16/2023","73.06","71.24","73.29","68.81","21.37M","2.35%"
"07/09/2023","71.38","70.58","71.75","69.75","15.99M","0.99%"
"07/02/2023","70.68","70.50","72.08","70.07","14.78M","0.61%"
"06/25/2023","70.25","70.66","71.94","68.67","21.86M","-0.28%"
"06/18/2023","70.45","71.48","72.03","69.84","13.80M","-1.83%"
"06/11/2023","71.76","71.48","72.19","69.94","25.27M","0.70%"
"06/04/2023","71.26","69.34","71.35","68.81","21.81M","2.61%"
"05/28/2023","69.45","69.46","70.29","68.59","20.44M","-0.03%"
"05/21/2023","69.47","71.60","71.80","69.02","21.50M","-2.72%"
"05/14/2023","71.41","73.54","73.64","70.35","21.15M","-2.64%"
"05/07/2023","73.35","74.81","75.80","72.79","19.23M","-2.12%"
"04/30/2023","74.94","73.50","74.96","72.53","19.72M","1.89%"
"04/23/2023","73.55","73.66","74.46","72.46","18.68M","-0.08%"
"04/16/2023","73.61","72.17","73.98","71.58","16.12M","2.32%"
"04/09/2023","71.94","71.89","72.61","70.90","17.77M","-0.51%"
"04/02/2023","72.31","69.14","72.55","68.25","16.42M","3.92%"
"03/26/2023","69.58","68.86","69.75","68.02","23.16M","1.44%"
"03/19/2023","68.59","68.00","70.42","66.06","27.85M","1.02%"
"03/12/2023","67.90","63.79","69.05","63.79","33.91M","6.19%"
"03/05/2023","63.94","64.71","65.91","63.63","19.64M","-1.34%"
