"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2024","40.26","39.80","40.63","39.40","66.92M","0.85%"
"12/22/2024","39.92","39.93","40.17","39.47","61.13M","-0.03%"
"12/15/2024","39.93","42.16","42.25","39.92","130.25M","-5.56%"
"12/08/2024","42.28","42.47","43.10","41.81","70.49M","-0.21%"
"12/01/2024","42.37","44.27","44.42","42.01","81.49M","-4.44%"
"11/24/2024","44.34","43.34","44.73","43.31","67.01M","2.76%"
"11/17/2024","43.15","41.67","43.33","41.67","72.19M","3.60%"
"11/10/2024","41.65","40.47","41.77","40.07","89.17M","2.89%"
"11/03/2024","40.48","41.65","41.77","40.42","94.57M","-2.13%"
"10/27/2024","41.36","41.45","42.65","41.12","92.78M","-0.05%"
"10/20/2024","41.38","44.04","44.20","40.75","131.74M","-5.93%"
"10/13/2024","43.99","43.00","44.17","42.89","58.43M","2.30%"
"10/06/2024","43.00","44.08","44.25","42.80","59.37M","-2.67%"
"09/29/2024","44.18","45.13","45.36","43.55","69.89M","-1.58%"
"09/22/2024","44.89","44.35","45.05","43.95","86.67M","1.26%"
"09/15/2024","44.33","44.61","45.05","43.33","136.15M","-0.23%"
"09/08/2024","44.43","41.26","44.47","41.26","125.66M","7.97%"
"09/01/2024","41.15","41.96","43.27","40.90","100.89M","-1.51%"
"08/25/2024","41.78","41.37","41.89","41.14","70.17M","1.38%"
"08/18/2024","41.21","40.63","41.23","40.56","57.16M","1.48%"
"08/11/2024","40.61","40.94","41.10","40.00","68.25M","-0.34%"
"08/04/2024","40.75","40.00","40.80","39.64","82.19M","-0.54%"
"07/28/2024","40.97","40.08","41.94","39.67","96.92M","2.20%"
"07/21/2024","40.09","39.95","40.97","38.70","138.78M","-3.68%"
"07/14/2024","41.62","41.43","42.52","40.70","85.65M","0.46%"
"07/07/2024","41.43","41.30","41.78","40.69","73.32M","0.39%"
"06/30/2024","41.27","41.42","41.98","40.72","62.28M","0.07%"
"06/23/2024","41.24","40.39","41.63","40.32","102.62M","2.49%"
"06/16/2024","40.24","39.60","40.47","38.95","87.51M","1.44%"
"06/09/2024","39.67","40.91","40.93","39.30","65.14M","-3.10%"
"06/02/2024","40.94","41.18","41.72","40.72","69.36M","-0.51%"
"05/26/2024","41.15","39.72","41.28","39.00","91.28M","3.55%"
"05/19/2024","39.74","40.05","40.31","39.11","63.89M","-0.80%"
