"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2024","90.78","90.73","91.30","89.52","46.71M","-0.96%"
"12/22/2024","91.66","91.50","92.88","88.91","57.58M","-0.63%"
"12/15/2024","92.24","94.42","95.89","91.63","130.93M","-2.13%"
"12/08/2024","94.25","95.66","95.94","93.04","79.57M","-1.52%"
"12/01/2024","95.70","92.82","96.18","91.95","93.00M","3.46%"
"11/24/2024","92.50","90.50","92.64","89.06","67.14M","2.28%"
"11/17/2024","90.44","84.82","90.91","83.66","122.52M","7.35%"
"11/10/2024","84.25","84.95","85.79","83.94","69.21M","-0.68%"
"11/03/2024","84.83","82.20","85.54","82.00","69.38M","3.21%"
"10/27/2024","82.19","82.75","83.08","81.22","54.66M","-0.39%"
"10/20/2024","82.51","81.23","83.34","80.72","55.65M","1.48%"
"10/13/2024","81.31","80.05","81.82","79.76","56.06M","1.51%"
"10/06/2024","80.10","80.69","80.94","78.98","64.86M","-1.04%"
"09/29/2024","80.94","79.89","81.53","79.85","74.91M","1.45%"
"09/22/2024","79.78","79.07","81.60","79.07","69.92M","0.91%"
"09/15/2024","79.06","80.84","81.02","77.49","113.16M","-1.91%"
"09/08/2024","80.60","76.85","80.68","76.49","87.34M","5.17%"
"09/01/2024","76.64","77.33","77.81","76.30","68.74M","-0.76%"
"08/25/2024","77.23","75.90","77.47","75.57","65.97M","2.02%"
"08/18/2024","75.70","73.39","76.22","73.34","71.79M","3.06%"
"08/11/2024","73.45","68.34","74.44","67.14","136.31M","8.09%"
"08/04/2024","67.95","68.10","68.63","66.67","80.38M","-0.74%"
"07/28/2024","68.46","69.85","70.24","67.74","86.60M","-1.89%"
"07/21/2024","69.78","70.86","71.26","68.83","80.03M","-1.37%"
"07/14/2024","70.75","69.30","71.33","69.30","55.89M","2.18%"
"07/07/2024","69.24","69.90","70.45","69.17","60.43M","-1.14%"
"06/30/2024","70.04","67.89","70.15","67.25","45.98M","3.44%"
"06/23/2024","67.71","68.05","69.04","66.55","79.27M","-0.29%"
"06/16/2024","67.91","66.92","68.55","66.41","63.95M","1.33%"
"06/09/2024","67.02","67.19","67.33","65.90","70.53M","1.73%"
"06/02/2024","65.88","65.51","67.57","65.16","74.81M","0.18%"
"05/26/2024","65.76","65.22","65.90","64.16","65.57M","0.58%"
"05/19/2024","65.38","64.42","65.69","63.87","75.03M","1.13%"
"05/12/2024","64.65","60.62","64.88","59.44","150.16M","6.89%"
"05/05/2024","60.48","60.00","60.85","59.39","63.56M","1.10%"
"04/28/2024","59.82","60.18","60.39","58.58","71.25M","-0.57%"
"04/21/2024","60.16","59.56","60.53","58.56","81.71M","1.06%"
"04/14/2024","59.53","60.51","60.70","58.97","66.84M","-1.01%"
"04/07/2024","60.14","59.60","60.89","59.30","59.45M","0.48%"
"03/31/2024","59.85","60.31","60.76","58.88","72.74M","-0.53%"
"03/24/2024","60.17","60.87","61.05","60.16","59.82M","-1.15%"
"03/17/2024","60.87","60.69","61.65","60.39","69.46M","0.31%"
"03/10/2024","60.68","60.10","61.56","59.87","114.23M","0.93%"
"03/03/2024","60.12","58.50","61.07","58.40","76.75M","2.31%"
"02/25/2024","58.76","59.12","59.84","58.18","113.25M","0.41%"
"02/18/2024","58.52","59.49","60.45","57.60","216.22M","3.05%"
"02/11/2024","56.79","56.41","57.31","55.85","91.18M","0.64%"
"02/04/2024","56.43","56.67","56.89","56.02","79.18M","-0.17%"
"01/28/2024","56.52","54.78","56.86","54.51","102.11M","3.23%"
"01/21/2024","54.76","54.26","54.79","53.44","81.05M","1.16%"
"01/14/2024","54.13","53.81","54.52","53.54","69.23M","0.66%"
"01/07/2024","53.77","52.23","53.96","52.22","92.11M","2.94%"
"12/31/2023","52.24","52.42","53.43","51.87","83.29M","-0.60%"
"12/24/2023","52.55","52.22","52.78","52.04","70.30M","0.64%"
"12/17/2023","52.22","51.12","52.38","51.04","112.19M","2.56%"
"12/10/2023","50.91","50.38","51.35","49.85","189.51M","1.25%"
"12/03/2023","50.29","51.11","51.95","50.08","132.65M","-2.25%"
"11/26/2023","51.45","51.98","52.97","50.88","146.02M","-1.10%"
"11/19/2023","52.02","51.85","52.28","51.38","96.50M","0.46%"
"11/12/2023","51.78","55.46","56.65","51.67","211.16M","-6.52%"
"11/05/2023","55.40","54.83","55.54","54.41","74.55M","0.93%"
"10/29/2023","54.89","53.82","55.43","53.59","74.45M","2.17%"
"10/22/2023","53.72","52.91","54.78","52.67","81.30M","1.52%"
"10/15/2023","52.92","53.51","54.12","52.90","62.60M","-0.67%"
"10/08/2023","53.28","51.69","53.49","51.09","76.39M","2.19%"
"10/01/2023","52.14","53.16","53.68","50.55","96.89M","-2.20%"
"09/24/2023","53.31","54.12","54.51","53.06","71.07M","-1.49%"
"09/17/2023","54.12","54.89","55.07","53.93","69.15M","-1.39%"
"09/10/2023","54.88","54.67","55.28","54.55","116.88M","0.53%"
"09/03/2023","54.59","53.95","54.62","53.30","61.59M","1.36%"
"08/27/2023","53.86","52.62","54.33","52.62","67.68M","2.38%"
"08/20/2023","52.61","52.54","53.08","52.08","72.86M","-0.07%"
"08/13/2023","52.64","54.00","54.26","51.67","143.92M","-2.03%"
"08/06/2023","53.73","53.17","54.03","53.04","67.86M","1.81%"
"07/30/2023","52.78","53.32","53.55","52.65","64.95M","-0.98%"
"07/23/2023","53.30","52.82","53.65","52.52","67.60M","0.97%"
"07/16/2023","52.79","51.47","52.93","51.25","67.90M","2.40%"
"07/09/2023","51.55","51.52","51.96","51.19","63.23M","0.76%"
"07/02/2023","51.16","52.27","53.04","51.15","60.44M","-2.35%"
"06/25/2023","52.39","51.88","52.51","51.05","85.69M","1.11%"
"06/18/2023","51.82","51.57","52.10","51.12","71.54M","-0.05%"
"06/11/2023","51.84","51.14","52.74","51.05","104.39M","1.59%"
"06/04/2023","51.03","49.79","51.24","49.50","90.81M","2.87%"
"05/28/2023","49.61","48.77","49.67","48.34","85.29M","1.64%"
"05/21/2023","48.81","49.90","50.03","48.36","89.96M","-2.33%"
"05/14/2023","49.97","51.17","51.43","49.57","133.00M","-2.06%"
"05/07/2023","51.02","50.42","51.45","50.35","74.01M","0.86%"
"04/30/2023","50.59","50.35","50.85","49.82","63.64M","0.53%"
"04/23/2023","50.32","50.57","51.25","50.06","70.69M","-0.50%"
"04/16/2023","50.58","49.55","50.77","49.50","81.06M","2.19%"
"04/09/2023","49.49","50.12","50.37","49.38","67.84M","-1.54%"
"04/02/2023","50.27","49.24","50.35","49.01","82.31M","2.27%"
"03/26/2023","49.15","47.60","49.48","47.59","115.02M","3.98%"
"03/19/2023","47.27","46.70","47.49","46.49","116.29M","1.72%"
"03/12/2023","46.47","45.56","46.60","45.53","158.81M","1.77%"
"03/05/2023","45.66","46.83","47.23","45.36","88.68M","-2.63%"
"02/26/2023","46.89","47.57","47.70","46.46","80.56M","-1.26%"
"02/19/2023","47.49","47.63","49.45","46.51","126.88M","-2.71%"
"02/12/2023","48.81","48.24","49.04","48.06","85.61M","1.89%"
"02/05/2023","47.91","47.27","47.98","46.23","73.55M","1.42%"
"01/29/2023","47.24","47.37","48.54","46.95","77.81M","-1.11%"
"01/22/2023","47.77","46.82","48.16","46.73","73.54M","1.96%"
"01/15/2023","46.85","48.43","48.57","46.06","84.68M","-3.27%"
"01/08/2023","48.43","48.77","49.29","47.91","70.74M","-1.02%"
"01/01/2023","48.93","47.52","49.18","47.36","65.10M","3.52%"
"12/25/2022","47.26","48.01","48.15","46.94","45.97M","-1.38%"
"12/18/2022","47.92","47.67","48.65","47.24","68.44M","0.71%"
"12/11/2022","47.58","48.63","50.07","47.52","121.04M","-1.76%"
"12/04/2022","48.44","50.92","51.00","48.41","103.23M","-5.16%"
"11/27/2022","51.07","50.91","51.55","50.24","106.33M","0.10%"
"11/20/2022","51.02","50.20","51.12","50.06","63.75M","1.89%"
"11/13/2022","50.08","47.21","50.09","46.09","190.45M","5.37%"
"11/06/2022","47.53","47.09","48.02","46.40","81.95M","1.14%"
"10/30/2022","46.99","47.45","47.85","46.26","78.56M","-1.08%"
"10/23/2022","47.50","45.82","47.63","45.71","84.87M","4.17%"
"10/16/2022","45.60","43.65","45.80","43.53","76.88M","4.88%"
"10/09/2022","43.48","43.18","44.92","42.76","86.82M","1.45%"
"10/02/2022","42.85","43.41","45.07","42.69","79.54M","-0.88%"
"09/25/2022","43.23","42.92","44.71","42.76","91.67M","-0.28%"
"09/18/2022","43.35","44.27","45.82","42.92","99.66M","-2.35%"
"09/11/2022","44.40","45.69","46.08","43.76","113.97M","-2.67%"
"09/04/2022","45.61","44.35","45.83","43.57","72.06M","2.89%"
"08/28/2022","44.33","43.61","45.22","43.53","93.29M","1.06%"
"08/21/2022","43.87","45.40","45.61","43.84","92.14M","-3.96%"
"08/14/2022","45.67","43.88","47.57","43.79","202.20M","3.63%"
"08/07/2022","44.07","42.22","44.28","42.20","113.24M","4.46%"
"07/31/2022","42.19","43.69","44.74","41.71","161.81M","-4.14%"
"07/24/2022","44.02","44.13","44.23","40.02","221.49M","-0.12%"
"07/17/2022","44.07","42.88","44.46","42.75","82.19M","2.43%"
"07/10/2022","43.02","41.67","43.42","41.30","80.05M","2.93%"
"07/03/2022","41.80","40.74","42.20","40.54","71.76M","2.26%"
"06/26/2022","40.88","41.26","41.86","39.96","91.03M","-0.88%"
"06/19/2022","41.24","39.43","41.77","39.41","94.05M","4.59%"
"06/12/2022","39.43","39.91","40.59","39.30","139.90M","-2.80%"
"06/05/2022","40.57","41.94","42.10","39.78","135.22M","-2.89%"
"05/29/2022","41.77","42.49","43.30","41.44","106.96M","-2.46%"
"05/22/2022","42.83","39.97","42.87","39.95","158.88M","7.79%"
"05/15/2022","39.73","49.79","49.91","39.09","379.01M","-19.49%"
"05/08/2022","49.35","49.49","51.03","48.71","126.15M","-1.01%"
"05/01/2022","49.85","51.65","51.66","49.42","115.48M","-2.24%"
"04/24/2022","51.00","52.12","52.71","50.90","91.22M","-2.47%"
"04/17/2022","52.29","52.25","53.59","51.74","89.56M","-0.14%"
"04/10/2022","52.36","52.32","52.76","50.85","103.12M","-0.21%"
"04/03/2022","52.47","50.30","52.80","50.03","122.40M","4.24%"
"03/27/2022","50.34","47.83","50.42","47.77","113.14M","5.27%"
"03/20/2022","47.82","48.48","49.10","47.17","88.74M","-1.37%"
"03/13/2022","48.48","47.34","48.98","47.33","120.39M","2.37%"
"03/06/2022","47.36","47.10","48.02","46.05","142.97M","-0.53%"
"02/27/2022","47.61","45.00","47.65","44.59","139.64M","4.72%"
"02/20/2022","45.46","45.92","46.08","44.00","103.13M","-1.17%"
"02/13/2022","46.00","45.11","46.53","44.23","164.64M","1.97%"
"02/06/2022","45.11","46.69","46.69","44.72","112.49M","-2.87%"
"01/30/2022","46.44","45.70","47.33","45.57","101.44M","1.32%"
"01/23/2022","45.84","46.36","46.84","44.65","137.29M","-1.90%"
"01/16/2022","46.73","48.14","48.33","46.69","93.70M","-3.36%"
"01/09/2022","48.35","48.48","48.88","47.67","114.47M","0.12%"
"01/02/2022","48.30","48.00","48.65","47.25","131.61M","0.14%"
"12/26/2021","48.23","46.53","48.35","46.52","77.79M","3.73%"
"12/19/2021","46.50","46.04","46.72","45.87","90.26M","0.53%"
"12/12/2021","46.25","46.75","48.84","46.13","252.03M","-1.62%"
"12/05/2021","47.01","45.85","47.10","45.24","175.75M","2.56%"
"11/28/2021","45.84","48.33","48.42","45.08","218.49M","-5.10%"
"11/21/2021","48.30","47.55","49.29","47.33","98.20M","1.76%"
"11/14/2021","47.46","49.38","49.48","46.95","188.55M","-3.63%"
"11/07/2021","49.25","50.07","50.17","49.18","79.10M","-1.64%"
"10/31/2021","50.08","49.99","50.67","49.68","70.63M","0.54%"
"10/24/2021","49.81","49.59","50.18","49.13","85.89M","0.73%"
"10/17/2021","49.45","46.67","49.90","46.61","105.94M","5.54%"
"10/10/2021","46.85","46.51","47.03","46.04","87.31M","0.64%"
"10/03/2021","46.55","45.70","46.90","44.90","104.86M","1.90%"
"09/26/2021","45.68","47.62","47.85","45.31","115.69M","-4.27%"
"09/19/2021","47.72","47.83","48.39","47.21","86.48M","-1.08%"
"09/12/2021","48.24","48.84","49.05","47.90","142.38M","-0.80%"
